q_index10,language,embedding,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
2,ca,nomic-embed-text,3,0.0,0.0,0.0,0.42643424831363125,0.0,0.3333333333333333,8.5,8.07,0.19300000000000003,0.8069999999999999,0.726,25.061156666666665,22.976343333333336,2.0848,491.0,366.6666666666667,124.33333333333333,13.09460566177691,0.0,0.0,0.0,0.0,0.0,0.0
2,en,all-minilm,3,0.0,0.2142857142857143,0.2142857142857143,0.217027027027027,0.0,0.0,6.833333333333333,7.760000000000001,0.22399999999999998,0.7759999999999999,0.617,19.332843333333333,17.28266,2.05017,371.3333333333333,280.3333333333333,91.0,13.564679086378684,0.0,0.0,0.0,0.5,0.0,0.5
2,en,mxbai-embed-large,3,0.0,0.16507936507936508,0.16507936507936508,0.1791829745596869,0.0,0.0,9.166666666666666,8.276666666666666,0.17233333333333334,0.8276666666666667,0.734,18.048126666666665,15.956796666666667,2.0913233333333334,340.3333333333333,280.3333333333333,60.0,13.017353268791481,0.0,0.0,0.0,0.4000000000000001,0.0,0.4000000000000001
2,en,nomic-embed-text,3,0.0,0.29629629629629634,0.29629629629629634,0.25721062618595825,0.0,0.0,9.6,8.633333333333335,0.1366666666666667,0.8633333333333333,0.762,17.711146666666668,15.638386666666667,2.0727499999999996,333.6666666666667,275.6666666666667,58.0,12.996191418929627,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5
2,es,all-minilm,3,0.0,0.4388888888888889,0.4388888888888889,0.413063063063063,0.0,0.0,9.666666666666666,7.623333333333332,0.23766666666666666,0.7623333333333333,0.681,18.871886666666665,16.80992,2.0619566666666667,444.6666666666667,359.3333333333333,85.33333333333333,13.312564080499323,0.0,0.0,0.25,0.6666666666666666,0.25,0.6666666666666666
2,es,mxbai-embed-large,3,0.0,0.11328976034858389,0.11328976034858389,0.09601626361794664,0.0,0.0,6.5,9.19,0.081,0.919,0.709,20.854069999999997,18.755800000000004,2.0982566666666664,450.3333333333333,363.3333333333333,87.0,12.808971264908521,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222
2,es,nomic-embed-text,3,0.0,0.37936507936507935,0.37936507936507935,0.3641414141414141,0.0,0.0,8.666666666666666,8.183333333333332,0.18166666666666664,0.8183333333333334,0.723,17.625429999999998,15.548689999999999,2.0767233333333333,427.0,371.0,56.0,12.887964998295901,0.0,0.0,0.07142857142857142,0.6666666666666666,0.07142857142857142,0.6666666666666666
3,ca,all-minilm,3,0.0,0.0,0.0,0.16439449420689914,0.0,0.0,0.0,7.3066666666666675,0.26933333333333337,0.7306666666666667,0.575,24.901723333333333,22.85059666666667,2.0511133333333333,523.0,378.3333333333333,144.66666666666666,12.613791022954443,0.0,0.0,0.0,0.0,0.0,0.0
3,ca,mxbai-embed-large,3,0.0,0.0,0.0,0.20702376584729523,0.0,0.0,0.0,8.126666666666667,0.18733333333333335,0.8126666666666668,0.7280000000000001,22.273643333333336,20.174519999999998,2.0991133333333334,471.6666666666667,377.0,94.66666666666667,12.109823287471444,0.0,0.0,0.0,0.0,0.0,0.0
3,ca,nomic-embed-text,3,0.0,0.0,0.0,0.21591024469489292,0.0,0.0,0.8333333333333334,8.023333333333333,0.19766666666666666,0.8023333333333333,0.746,26.382943333333333,24.312569999999997,2.07036,526.0,394.3333333333333,131.66666666666666,12.37228443356184,0.0,0.0,0.0,0.0,0.0,0.0
3,en,all-minilm,3,0.0,0.06407322654462243,0.06407322654462243,0.15542365222539037,0.0,0.0,3.1666666666666665,7.18,0.28200000000000003,0.718,0.603,17.47176333333333,15.415306666666666,2.0564433333333336,370.3333333333333,293.6666666666667,76.66666666666667,12.486698131518557,0.0,0.0,0.0,0.10526315789473685,0.0,0.10526315789473685
3,en,mxbai-embed-large,3,0.0,0.11597007223942209,0.11597007223942209,0.19101195016526826,0.0,0.0,2.8333333333333335,7.8566666666666665,0.21433333333333335,0.7856666666666667,0.73,22.972783333333336,20.879583333333333,2.0931866666666665,403.0,293.6666666666667,109.33333333333333,12.68514981074722,0.0,0.0,0.10526315789473685,0.125,0.10526315789473685,0.125
3,en,nomic-embed-text,3,0.0,0.05787037037037037,0.05787037037037037,0.15981280193236713,0.0,0.0,0.0,7.996666666666666,0.20033333333333334,0.7996666666666666,0.749,20.68225,18.59853,2.08371,381.0,291.6666666666667,89.33333333333333,12.758657354479913,0.0,0.0,0.0,0.11111111111111112,0.0,0.11111111111111112
3,es,all-minilm,3,0.0,0.0,0.0,0.16330895158481362,0.0,0.0,0.0,7.219999999999999,0.278,0.7220000000000001,0.591,17.989173333333333,15.934476666666669,2.0546866666666666,444.3333333333333,366.6666666666667,77.66666666666667,13.16950354484984,0.0,0.0,0.0,0.0,0.0,0.0
3,es,mxbai-embed-large,3,0.0,0.0,0.0,0.20156624984211188,0.0,0.0,0.0,8.153333333333334,0.18466666666666667,0.8153333333333334,0.741,22.603543333333334,20.508733333333335,2.094796666666667,475.3333333333333,373.6666666666667,101.66666666666667,12.692375956750887,0.0,0.0,0.0,0.0,0.0,0.0
3,es,nomic-embed-text,3,0.0,0.0,0.0,0.15940574234783936,0.0,0.0,0.0,8.133333333333333,0.18666666666666668,0.8133333333333334,0.7479999999999999,22.54386666666667,20.425210000000003,2.118646666666667,474.6666666666667,373.6666666666667,101.0,12.783102305839298,0.0,0.0,0.0,0.0,0.0,0.0
